"시점","자치구별(1)",자치구별(2),일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자
"시점","자치구별(1)",자치구별(2),소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상
"2019","합계",노원구,27175,262,696,1261,1983,1300,629,462,678,1039,1677,2261,2486,2563,2273,2301,2465,2839
"2019","합계",은평구,18991,198,593,1092,1745,887,425,284,439,731,1272,1382,1516,1583,1546,1657,1581,2060
"2019","합계",서대문구,8695,320,214,443,724,343,156,111,185,275,499,619,743,739,751,734,802,1037
"2019","합계",마포구,8629,123,196,371,602,405,176,151,205,294,509,651,750,774,782,811,801,1028
"2019","합계",양천구,13508,150,445,922,1267,608,265,214,328,531,818,930,1132,1143,1121,1069,1077,1488
"2019","합계",강서구,23721,214,574,1063,1529,966,534,408,621,779,1327,1787,2311,2521,2242,2038,2076,2731
"2019","합계",구로구,9876,134,334,562,808,382,171,190,259,350,628,681,803,798,818,903,901,1154
"2019","합계",금천구,10154,128,285,513,777,429,190,125,212,316,627,888,986,947,880,887,926,1038
"2019","합계",영등포구,8868,74,150,325,523,266,104,114,188,277,527,728,950,962,993,899,839,949
"2019","합계",동작구,10235,95,267,459,759,461,197,175,297,381,664,723,853,900,880,955,942,1227
"2019","합계",관악구,15835,150,392,664,1095,726,340,317,420,588,1048,1220,1503,1475,1399,1366,1373,1759
"2019","합계",서초구,5846,63,251,295,461,254,146,115,150,212,360,446,492,564,528,493,415,601
"2019","합계",강남구,12290,184,294,493,798,607,306,212,359,422,689,897,1109,1317,1196,1184,1070,1153
"2019","합계",송파구,13123,176,484,813,1176,681,299,250,385,530,888,1023,1095,1153,1069,1011,878,1212
"2019","합계",강동구,11277,115,357,599,938,476,198,194,283,421,739,928,1082,1064,986,886,873,1138
"2020","합계",소계,359244,3841,9307,16563,23428,15266,7786,6802,9376,13474,22179,28965,32544,35917,34008,30620,29592,39576
"2020","합계",종로구,4623,22,61,164,207,114,65,77,95,132,263,377,543,573,566,432,450,482
"2020","합계",중구,5185,28,93,179,247,121,72,75,90,143,273,383,500,601,679,554,501,646
"2020","합계",용산구,8017,59,163,289,436,244,139,144,210,312,512,706,825,863,844,694,686,891
"2020","합계",성동구,9594,58,196,377,619,421,195,148,199,278,571,841,933,1062,883,820,850,1143
"2020","합계",광진구,11795,123,354,631,832,606,323,256,331,485,824,1085,1152,1233,1055,832,725,948
"2020","합계",동대문구,14856,135,319,688,843,483,236,248,306,504,824,1139,1419,1674,1600,1439,1360,1639
"2020","합계",중랑구,24293,269,766,1207,1647,930,551,367,632,966,1501,2032,2236,2470,2264,1887,1894,2674
"2020","합계",성북구,15238,181,441,842,1169,637,303,235,393,565,959,1182,1304,1432,1378,1215,1261,1741
"2020","합계",강북구,19581,172,541,954,1330,792,399,317,447,690,1255,1611,1809,1888,1852,1703,1777,2044
"2020","합계",도봉구,13600,133,462,839,1184,579,304,225,409,550,945,1123,1084,1194,1093,988,997,1491
"2020","합계",노원구,30368,254,746,1316,1847,1482,704,552,756,1174,1895,2536,2737,2978,2722,2621,2703,3345
"2020","합계",은평구,22465,243,643,1130,1735,1102,547,390,565,878,1487,1802,1802,1977,1942,1914,1845,2463
"2020","합계",서대문구,10111,249,226,442,707,429,218,176,242,328,599,766,861,914,922,901,874,1257
"2020","합계",마포구,9917,250,198,362,582,466,195,212,244,346,593,768,852,906,921,875,924,1223
"2020","합계",양천구,15794,171,439,949,1236,721,341,294,406,604,980,1201,1342,1447,1404,1288,1213,1758
"2020","합계",강서구,27358,245,656,1099,1518,1109,640,522,740,989,1434,2057,2514,3037,2733,2384,2341,3340
"2020","합계",구로구,11850,171,402,633,853,435,218,262,357,452,749,858,945,1037,1019,1050,1011,1398
"2020","합계",금천구,11308,116,288,535,761,463,210,171,241,369,684,981,1133,1142,1046,960,964,1244
"2020","합계",영등포구,10458,79,186,337,526,321,133,159,242,372,594,869,1102,1200,1240,1047,916,1135
"2020","합계",동작구,12049,110,257,458,706,541,295,296,367,448,758,905,1020,1164,1122,1095,1031,1476
"2020","합계",관악구,20128,181,442,755,1103,904,487,592,627,802,1319,1627,1869,1969,1893,1632,1649,2277
"2020","합계",서초구,6648,66,234,344,444,300,172,135,183,285,383,542,565,661,654,565,451,664
"2020","합계",강남구,14061,196,291,489,792,634,345,316,447,547,816,1043,1277,1550,1446,1357,1182,1333
"2020","합계",송파구,15702,202,534,831,1132,811,394,373,466,669,1052,1317,1385,1492,1377,1218,987,1462
"2020","합계",강동구,14245,128,369,713,972,621,300,260,381,586,909,1214,1335,1453,1353,1149,1000,1502
"2021","합계",소계,392527,3583,9080,16414,21959,15725,8786,7930,10146,14818,22458,31889,34895,41155,41271,33765,31860,46793
"2021","합계",종로구,5009,26,56,144,207,105,70,75,102,144,231,406,532,658,646,505,476,626
"2021","합계",중구,5793,31,100,190,228,142,72,90,103,152,289,428,555,660,818,629,536,770
"2021","합계",용산구,8631,61,163,285,390,289,155,169,215,319,505,790,902,980,943,746,704,1015
"2021","합계",성동구,10107,57,181,350,532,383,204,158,195,320,506,876,955,1197,1062,882,941,1308
"2021","합계",광진구,13188,116,346,618,795,631,369,311,403,543,834,1259,1285,1500,1306,945,791,1136
"2021","합계",동대문구,16022,132,328,633,775,544,267,285,338,533,831,1228,1512,1855,1946,1533,1378,1904
"2021","합계",중랑구,26582,265,741,1225,1615,967,600,467,681,1060,1618,2257,2472,2878,2764,2102,1906,2964
"2021","합계",성북구,16340,160,431,798,1064,645,372,273,392,592,974,1319,1327,1640,1660,1287,1334,2072
"2021","합계",강북구,21656,147,533,952,1239,854,456,387,500,770,1274,1829,2007,2206,2148,1979,1902,2473
"2021","합계",도봉구,15090,148,415,853,1113,642,335,298,412,639,962,1312,1210,1380,1354,1078,1120,1819
"2021","합계",노원구,31884,218,682,1265,1677,1370,730,560,745,1176,1833,2570,2749,3242,3218,2861,2852,4136
"2021","합계",은평구,23829,207,612,1078,1603,1146,580,452,564,914,1458,1944,1942,2205,2244,2005,1990,2885
"2021","합계",서대문구,11364,231,234,433,663,450,244,218,270,378,630,871,947,1071,1150,961,970,1643
"2021","합계",마포구,10763,188,169,387,547,469,229,210,276,374,631,852,900,1045,1108,961,1012,1405
